iteration,cost,std
1,2302.7400000000002,457.5972862681771
2,1627.63,374.03001229847854
3,1345.1699999999998,280.41303482541605
4,1197.81,286.2473701189235
5,1071.46,279.8695453242456
6,953.9499999999998,260.48532492253764
7,864.0799999999999,233.83922168874923
8,797.6400000000001,204.3666274125989
9,710.72,197.64046043257437
10,680.49,162.99344434669757
11,664.9300000000001,170.54830430115686
12,640.72,149.99538526234733
13,616.4300000000001,162.2456597262312
14,586.5699999999999,158.84398666616246
15,562.42,144.3266351024647
16,538.29,135.3972337235883
17,535.01,138.5677195453544
18,511.2900000000001,122.1227534081999
19,496.18,127.00133700083634
20,487.11,125.2079027058596
21,475.06000000000006,112.84834247785831
22,439.35,128.4467847009025
23,435.93,132.62373128516631
24,429.7799999999999,130.30439593505662
25,429.6,130.29556400737516
26,426.55,127.73770195208617
27,423.45,125.8037062252142
28,417.52,125.28271868059056
29,405.3,118.4595373956863
30,393.22,116.78699242638281
31,381.13,107.05423905665764
32,380.83,106.88213180882947
33,374.62,105.50250992275019
34,374.4,105.28832793809579
35,365.32000000000005,100.38940980003818
36,362.23,100.68535196343112
37,359.18,101.71135433175591
38,355.85,103.25190797268591
39,355.77,103.26973467575095
40,352.73,105.66222645770816
41,349.71,102.29219373930741
42,349.67,102.31256081244375
43,349.5,102.22626863971902
44,346.33000000000004,101.095480116571
45,340.08000000000004,103.80821547449894
46,337.01,103.26234986673508
47,334.04,103.54311372563603
48,319.14,92.75651136173674
49,310.09000000000003,94.34459655963343
50,304.15,89.2624361083653
