net,x,y,z
"(24, 5)",1;1;0;0;0;0;0;1;2;2;2;2;2;3,1;2;2;3;4;5;6;6;6;7;8;9;10;10,0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(6, 8)",12;12,10;9,0;0
"(2, 1)",6;5;4;3;2;1,11;11;11;11;11;11,0;0;0;0;0;0
"(16, 22)",2;2;2,4;3;2,0;0;0
"(4, 6)",15;14;13;12;12,11;11;11;11;10,0;0;0;0;0
"(8, 14)",12;13;13;13;13;13,9;9;8;7;6;5,0;0;0;0;0;0
"(4, 24)",15;15;15;15;15;14;14;14;14;14;14;13;12;12;11;10;9;8;8;8;7;6;5;4;3;2;1;1;1,11;10;10;9;9;9;8;7;6;5;4;4;4;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1,0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0
"(24, 9)",1;2;3;4;5;6;7;7;7;7;7;7;7;7;7;7;7;7;8,1;1;1;1;1;1;1;1;2;2;3;4;5;6;7;8;8;8;8,0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;1;0;0
"(23, 14)",9;10;11;12;13;13;13;13,2;2;2;2;2;3;4;5,0;0;0;0;0;0;0;0
"(16, 18)",2;3;4;5;5;6;7;8;9;9,4;4;4;4;5;5;5;5;5;4,0;0;0;0;0;0;0;0;0;0
"(21, 11)",1;1;1;2;3;4;4;4,3;4;5;5;5;5;6;7,0;0;0;0;0;0;0;0
"(16, 9)",2;2;2;3;4;5;6;7;8;8;8;8;8;8;8,4;4;3;3;3;3;3;3;3;4;5;6;7;8;8,0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"(14, 19)",13;12;11;11,5;5;5;4,0;0;0;0
"(20, 3)",15;15;15;14;14;13;13;12;12;11;10;10;10;10;10,4;5;5;5;6;6;7;7;8;8;8;9;10;11;11,0;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"(23, 12)",9;9;10;10;10;10;11;11,2;3;3;4;5;6;6;7,0;0;0;0;0;0;0;0
"(11, 5)",4;3;3;3;3,7;7;8;9;10,0;0;0;0;0
"(12, 25)",11;12;12;12;12;12;12;12;12;12,7;7;6;6;5;4;3;2;1;1,0;0;0;1;1;1;1;1;1;0
"(4, 16)",15;16;16;16;16;16;15;14;13;13;12;12;12;11;11;10;9;9;8;7;6;5;4;3;2;2;2,11;11;10;9;8;8;8;8;8;8;8;7;6;6;6;6;6;6;6;6;6;6;6;6;6;5;4,0;0;0;0;0;1;1;1;1;2;2;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0
"(3, 21)",10;9;8;8;8;7;6;5;5;5;5;5;4;3;2;2;1;1;1;1;1;0;0;0;0;1,11;11;11;10;10;10;10;10;9;8;7;6;6;6;6;6;6;6;5;4;3;3;3;3;3;3,0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;3;3;2;1;0;0
"(4, 5)",15;15;14;13;12;11;10;9;8;7;7;7;6;5;4;3,11;12;12;12;12;12;12;12;12;12;11;10;10;10;10;10,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(21, 20)",1;1;1;2;3;4;5;6;6;7;8;9;10;11;12;13;14;15;15;15;15;15,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4,0;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;2;1;0
"(17, 10)",6;6;5;4;3;3;2;1;1;1;1,4;4;4;4;4;5;5;5;6;7;7,0;1;1;1;1;1;1;1;1;1;0
"(20, 6)",15;14;14;14;14;14;14;14;13;13;12;12,4;4;5;6;7;8;9;9;9;10;10;10,0;0;0;0;0;0;0;1;1;1;1;0
"(4, 1)",15;15;14;13;12;11;11;10;9;8;7;6;5;4;3;2;1;1;1,11;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;11;11,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"(16, 6)",2;1;1;1;2;3;4;5;5;6;7;8;9;10;10;10;10;10;10;11;11;11;11;11;12,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;7;8;8;9;10;10;10;10,0;0;1;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;0;0
"(7, 15)",14;15;15;15;15;15;16;16,10;10;9;8;7;6;6;5,0;0;0;0;0;0;0;0
"(8, 10)",12;11;10;9;8;7;6;5;4;4;4;3;2;1;1;1,9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;7,0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
"(10, 14)",1;0;0;0;0;0;1;2;3;4;5;6;6;7;8;9;10;11;12;13;13;13;13,7;7;7;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5,0;0;1;1;1;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;2;1;0
"(23, 17)",9;8;7;6;6;6,2;2;2;2;3;4,0;0;0;0;0;0
"(11, 8)",4;5;6;7;8;9;10;10;11;12;12,7;7;7;7;7;7;7;8;8;8;9,0;0;0;0;0;0;0;0;0;0;0
