net,x,y,z
"(1, 14)",1;1;1;1;1;2;3;4;5;6;7;8;9;10;11;12;13;13;13;14;14;14;14;14;13;13;13;13;13,11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11;10;10;9;8;8;7;7;7;6;6;5,0;0;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;1;0;0
"(1, 15)",1;1;1;1;1;1;2;3;4;5;6;7;7;8;9;10;10;10;10;10;10;10;11;12;13;13;14;15;16;16;16;16;16;16,11;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;8;7;7;6;5;5;5;5;5;5;5;5;5;4;4;4;4;5,0;0;1;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;3;3;3;4;4;4;4;3;3;3;3;3;2;1;0;0
"(1, 23)",1;0;0;0;0;0;0;0;1;2;3;4;5;6;6;7;8;9;9;9;9;10;10;10;9;9;9;9,11;11;10;9;8;8;8;8;8;8;8;8;8;8;7;7;7;7;6;5;4;4;3;2;2;2;2;2,0;0;0;0;0;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;0
"(9, 8)",8;9;10;11;12;12,8;8;8;8;8;9,0;0;0;0;0;0
"(3, 7)",10;11;12;13;13;14,11;11;11;11;10;10,0;0;0;0;0;0
"(4, 20)",15;15;15;15;15;15;15;15;15;15,11;10;9;8;7;6;6;5;4;4,0;0;0;0;0;0;1;1;1;0
"(4, 10)",15;14;14;14;13;12;12;11;10;9;8;7;6;5;4;3;3;3;3;3;3;3;3;3;3;3;2;2;1,11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;9;8;7;7;7;7;6;6;6;7;7,0;0;1;2;2;2;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;2;1;1;0;0;0;0
"(5, 9)",3;3;4;5;5;5;6;7;8;8,10;9;9;9;9;8;8;8;8;8,0;0;0;0;1;1;1;1;1;0
"(5, 10)",3;2;2;1;1;1,10;10;9;9;8;7,0;0;0;0;0;0
"(6, 15)",12;12;13;13;14;14;15;15;15;15;16;16;16;16,10;10;10;9;9;9;9;8;7;6;6;5;5;5,0;1;1;1;1;2;2;2;2;2;2;2;1;0
