netlist,x,y,z
"(35, 22)",12;12;12;12;12;12,5;6;7;8;9;10,0;0;0;0;0;0
"(49, 48)",13;12;11,1;1;1,0;0;0
"(39, 17)",10;10;10;10;10;10;10;10;11;11;11;11;11,4;4;4;5;6;7;8;9;9;10;10;10;11,0;1;2;2;2;2;2;2;2;2;1;0;0
"(1, 17)",1;1;2;3;3;4;4;5;5;5;6;7;7;7;8;9;10;11;11;11;11;11;11;11;11;12;12;12;11,15;15;15;15;15;15;15;15;15;14;14;14;13;13;13;13;13;13;13;12;11;11;11;11;11;11;11;11;11,0;1;1;1;2;2;3;3;4;4;4;4;4;5;5;5;5;5;6;6;6;5;4;3;2;2;1;0;0
"(29, 41)",9;9;10;10;10;9;9;9,8;7;7;6;5;5;4;3,0;0;0;0;0;0;0;0
"(25, 9)",13;13;13;14;14;14;14;14;14;14;14;14;14;14;14;14;13;12;12;11;11;10;9;8;7;7;6;6,9;8;8;8;7;7;7;7;7;8;9;10;11;11;12;12;12;12;12;12;13;13;13;13;13;13;13;13,0;0;1;1;1;2;3;4;5;5;5;5;5;4;4;3;3;3;2;2;2;2;2;2;2;1;1;0
"(37, 38)",4;5;6;7,4;4;4;4,0;0;0;0
"(27, 9)",6;5;5;5;5;5;6;6,8;8;9;10;11;12;12;13,0;0;0;0;0;0;0;0
"(9, 28)",6;7;7;7;8;8;8;8;7,13;13;12;11;11;10;9;8;8,0;0;0;0;0;0;0;0;0
"(40, 49)",15;14;14;14;14;13,4;4;3;2;1;1,0;0;0;0;0;0
"(45, 35)",1;1;2;3;4;5;6;7;8;9;10;11;12;12;12;12;12;12;12;12,1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;4;5,0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
"(23, 31)",15;15;15,10;9;8,0;0;0
"(44, 45)",6;5;5;4;3;2;1,2;2;1;1;1;1;1,0;0;0;0;0;0;0
"(48, 6)",11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12,1;1;2;3;4;4;4;4;5;5;5;5;6;7;7;8;9;10;10;11;12;13;14;14;14;14;14;14;14,0;1;1;1;1;2;3;4;4;5;6;7;7;7;6;6;6;6;6;6;6;6;6;5;4;3;2;1;0
"(20, 31)",7;7;7;7;7;8;9;10;11;12;12;13;13;13;13;13;13;14;15,10;10;10;9;9;9;9;9;9;9;8;8;7;7;7;7;8;8;8,0;1;2;2;3;3;3;3;3;3;3;3;3;2;1;0;0;0;0
"(32, 42)",1;1;1;1;1;2;3;4;4;4;4;4;5;6;7;8;8;9;9;10;10;10;11;12;12;13;13,7;6;5;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;3;3;3;3,0;0;0;0;0;0;0;0;1;2;3;4;4;4;4;4;4;4;3;3;2;2;2;2;1;1;0
"(1, 11)",1;1;2;3;4;5;5;6;7;8;8;9;10;10;11;12;12;13;14;15;15;16;16;16;16;16;15,15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;15;14;13;13;13,0;0;0;0;0;0;1;1;1;1;2;2;2;1;1;1;0;0;0;0;1;1;1;1;1;0;0
"(13, 33)",8;8;8;7;6;6;5;5;5;5;5;6,12;12;11;11;11;10;10;9;8;7;7;7,0;1;1;1;1;1;1;1;1;1;0;0
"(4, 34)",15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;14;13;12;12;11;10;9;9;9;9;9;9;10;10;9,15;14;14;14;14;14;14;14;13;12;11;10;9;8;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,0;0;1;2;3;4;5;6;6;6;6;6;6;6;6;6;6;7;7;7;6;6;6;6;5;4;3;2;1;1;0;0
"(46, 19)",6;6;5;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2,1;1;1;1;1;2;3;4;4;5;6;7;8;8;9;10;10;10,0;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;0
"(1, 22)",1;0;0;0;0;1;2;3;3;4;4;5;5;6;7;8;9;10;11;12;13;13;13;13;13;13;13;13;13;13;13;12;12,15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;13;12;11;11;11;11;11;11;10;10;10,0;0;1;2;3;3;3;3;4;4;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;5;4;3;2;1;1;1;0
"(24, 44)",6;6;6;5;5;5;5;5;5;5;5;5;6;6,9;9;9;9;8;7;6;6;5;4;3;3;3;2,0;1;2;2;2;2;2;1;1;1;1;0;0;0
"(45, 43)",1;1;2;3;4,1;2;2;2;2,0;0;0;0;0
"(19, 12)",2;2;2,10;11;12,0;0;0
"(25, 24)",13;13;12;11;10;9;9;8;8;8;7;6;6;6;6;6,9;9;9;9;9;9;9;9;10;11;11;11;10;10;10;9,0;1;1;1;1;1;2;2;2;2;2;2;2;1;0;0
"(42, 14)",13;13;13;13;12;11;11;11;11;10;9;8;8;8;8;8;7;6;6;5;5;5;5;4;4;4;3;3;2;2;2;1;1,3;2;2;2;2;2;2;2;2;2;2;2;3;4;5;6;6;6;6;6;7;8;9;9;9;10;10;11;11;11;11;11;11,0;0;1;2;2;2;3;4;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;2;1;1;0
"(27, 2)",6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;6,8;8;8;8;8;9;10;10;11;11;12;13;14;14;15;15,0;1;2;3;3;3;3;2;2;1;1;1;1;0;0;0
"(17, 2)",11;11;11;11;11;11;10;9;9;8;7;6,11;11;12;13;13;14;14;14;15;15;15;15,0;1;1;1;0;0;0;0;0;0;0;0
"(21, 30)",10;10;11;11,10;9;9;8,0;0;0;0
"(32, 5)",1;1;1;1;0;0;0;0;0;1;2;3,7;8;9;10;10;11;12;13;14;14;14;14,0;0;0;0;0;0;0;0;0;0;0;0
"(8, 29)",1;2;2;3;4;4;5;5;6;6;6;7;8;8;9;9;9;9;9;9;10;10;11;12;12;12;12;12;11;11;10;10;10;9,13;13;13;13;13;13;13;12;12;12;11;11;11;10;10;10;9;8;8;7;7;6;6;6;6;6;6;7;7;7;7;8;8;8,0;0;1;1;1;2;2;2;2;3;3;3;3;3;3;4;4;4;5;5;5;5;5;5;4;3;2;2;2;1;1;1;0;0
"(29, 46)",9;9;9;9;8;8;8;8;8;8;8;8;7;7;6,8;8;7;7;7;6;5;4;4;4;3;2;2;1;1,0;1;1;2;2;2;2;2;1;0;0;0;0;0;0
"(1, 13)",1;2;3;4;4;5;5;5;6;6;6;7;8;8;8,15;15;15;15;15;15;15;14;14;14;14;14;14;13;12,0;0;0;0;1;1;2;2;2;1;0;0;0;0;0
"(45, 30)",1;1;2;2;3;3;3;3;3;3;4;4;4;5;6;7;8;9;10;11;12;12;13;13;13;12;12;12;12;11;11;11;11;11,1;1;1;1;1;2;2;2;2;2;2;3;4;4;4;4;4;4;4;4;4;5;5;6;7;7;7;8;8;8;8;8;8;8,0;1;1;2;2;2;3;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;4;4;3;2;1;0
"(35, 6)",12;12;12;12;12;12;13;14;14;14;14;14;14;14;14;14;13;13;13;12,5;5;6;7;8;8;8;8;8;9;10;11;11;11;12;13;13;14;14;14,0;1;1;1;1;2;2;2;3;3;3;3;2;1;1;1;1;1;0;0
"(3, 18)",10;10;11;12;13;13;13;13;13;14;15;15;15;15;16,15;15;15;15;15;15;14;13;12;12;12;12;12;11;11,0;1;1;1;1;2;2;2;2;2;2;1;0;0;0
"(10, 6)",12;12,13;14,0;0
"(31, 10)",15;15;15;15;14;14;14;14;14;14;14;13;12,8;8;8;9;9;10;10;10;11;12;13;13;13,0;1;2;2;2;2;1;0;0;0;0;0;0
"(37, 30)",4;4;4;4;5;6;7;7;8;9;9;10;10;11;11;11;11;11;11;11,4;4;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;7;8,0;1;1;2;2;2;2;3;3;3;4;4;4;4;3;2;1;0;0;0
"(19, 28)",2;2;2;3;4;4;4;5;6;7;7;7,10;9;8;8;8;7;6;6;6;6;7;8,0;0;0;0;0;0;0;0;0;0;0;0
"(33, 12)",6;6;6;6;5;4;4;4;4;4;4;4;3;3;3;2,7;7;7;7;7;7;7;7;8;9;9;10;10;11;12;12,0;1;2;3;3;3;2;1;1;1;0;0;0;0;0;0
"(41, 11)",9;9;9;9;10;11;12;12;13;13;13;13;13;13;13;13;13;13;14;14;14;14;14;14;15;15;16;16;16;16;16;15;15,3;3;3;3;3;3;3;4;4;5;6;6;6;7;8;8;9;10;10;11;12;13;13;13;13;13;13;13;12;12;12;12;13,0;1;2;3;3;3;3;3;3;3;3;4;5;5;5;6;6;6;6;6;6;6;5;4;4;3;3;2;2;1;0;0;0
"(5, 41)",3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;5;5;6;6;6;7;8;8;9;9;9,14;15;15;16;16;16;16;16;15;14;13;12;11;10;9;9;8;7;6;5;5;5;5;4;4;4;4;3;3;3;2;2;2;3,0;0;1;1;2;3;4;5;5;5;5;5;5;5;5;4;4;4;4;4;3;3;3;3;2;2;1;1;1;1;1;1;0;0
"(36, 7)",2;2;2;2;2;2;2;2;2;3;3;4;4;4;4;5;5;5;6;7;7;7;8;9;10;11;11;11;12;13;13;14;14;14;14,4;5;6;7;7;7;7;7;7;7;8;8;9;10;10;10;11;12;12;12;12;13;13;13;13;13;14;15;15;15;14;14;14;14;14,0;0;0;0;1;2;3;4;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;1;0
"(18, 4)",16;16;16;16;16;15,11;12;13;14;15;15,0;0;0;0;0;0
"(11, 20)",15;15;15;14;14;13;13;13;12;11;11;10;10;9;9;9;9;9;8;7,13;13;13;13;13;13;13;12;12;12;12;12;12;12;11;10;10;10;10;10,0;1;2;2;3;3;4;4;4;4;3;3;2;2;2;2;1;0;0;0
"(26, 25)",16;16;15;14;14;13,9;9;9;9;9;9,0;1;1;1;0;0
"(21, 48)",10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;11;11;11;11;11,10;10;10;10;10;10;9;8;8;8;7;6;5;5;5;5;5;4;3;2;1,0;1;2;3;4;5;5;5;4;3;3;3;3;3;2;1;0;0;0;0;0
"(13, 26)",8;7;7;7;8;8;9;9;10;10;11;12;13;14;15;16;16;16;16;16;16;16;16;16;16;16,12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11;10;10;10;10;10;10;10;9,0;0;1;2;2;3;3;4;4;5;5;5;5;5;5;5;6;6;6;5;4;3;2;1;0;0
"(5, 16)",3;4;4;4;4;5;6;7;7;7;8;8;9;9;9;9;10,14;14;14;14;14;14;14;14;14;14;14;13;13;12;11;11;11,0;0;1;2;3;3;3;3;2;1;1;1;1;1;1;0;0
"(20, 34)",7;7;7;8;8;8;8;8;9,10;9;9;9;8;7;7;6;6,0;0;1;1;1;1;0;0;0
"(34, 37)",9;9;9;8;7;7;6;5;4;4,6;6;5;5;5;5;5;5;5;4,0;1;1;1;1;0;0;0;0;0
"(2, 4)",6;6;7;8;9;10;11;11;12;13;14;15,15;16;16;16;16;16;16;15;15;15;15;15,0;0;0;0;0;0;0;0;0;0;0;0
"(14, 50)",1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;2;2;3;4;5;5;6;7;8;9;10;11;12;12;13;13;13;14;15;16;16,11;12;12;12;11;10;9;9;8;7;6;5;4;3;2;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;1;0;0;0;0;0
"(26, 50)",16;16;16;16;16;16;16;16;16,9;8;7;6;5;4;3;2;1,0;0;0;0;0;0;0;0;0
"(16, 43)",10;10;10;10;9;9;8;8;8;8;8;8;8;8;8;8;7;6;5;5;5;5;4;4,11;11;11;11;11;11;11;10;9;8;7;6;5;4;4;3;3;3;3;3;2;2;2;2,0;1;2;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;3;2;2;1;1;0
"(34, 5)",9;9;8;8;8;7;6;6;6;5;4;3;3;3;3;3;3;3;3;3;3;3;3,6;5;5;6;6;6;6;6;6;6;6;6;7;8;9;9;10;11;12;13;14;14;14,0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;2;2;2;2;2;2;1;0
"(28, 23)",7;7;7;8;8;8;9;9;10;11;12;13;13;14;14;14;15;15;15;15;15,8;8;8;8;8;7;7;7;7;7;7;7;8;8;9;10;10;10;10;10;10,0;1;2;2;3;3;3;4;4;4;4;4;4;4;4;4;4;3;2;1;0
"(5, 9)",3;3;4;5;6,14;13;13;13;13,0;0;0;0;0
"(13, 25)",8;9;10;11;12;12;13;13;13,12;12;12;12;12;11;11;10;9,0;0;0;0;0;0;0;0;0
